"Sample.ID","NCBI.accession","Sample.collection.date","Host.species","Region","Province","Municipality","Barangay","Location","source","corrected_date","decimal_date"
"RV/R4A.PHL/2004/Z-04-042","AB563791","2004","Canis lupus familiaris","Region4A","Cavite",NA,NA,"Region4A, Cavite","rabv-glue",2004-01-01,2004
"RV/R4A.PHL/2004/Z-04-211","AB563792","2004","Canis lupus familiaris","Region 4A","Laguna",NA,NA,"Region 4A, Laguna","rabv-glue",2004-01-01,2004
"RV/R4A.PHL/2004/Z-04-389","AB563793","2004","Canis lupus familiaris","Region 4A","Cavite",NA,NA,"Region 4A, Cavite","rabv-glue",2004-01-01,2004
"RV/R4A.PHL/2004/Z-04-401","AB563794","2004","Canis lupus familiaris","Region4A","Rizal",NA,NA,"Region4A, Rizal","rabv-glue",2004-01-01,2004
"RV/R4A.PHL/2004/Z-04-420","AB563795","2004","Canis lupus familiaris","Region 4A","Cavite",NA,NA,"Region 4A, Cavite","rabv-glue",2004-01-01,2004
"RV/NCR.PHL/2004/Z-04-421","AB563796","2004","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2004-01-01,2004
"RV/R4A.PHL/2004/Z-04-480","AB563797","2004","Canis lupus familiaris","Region4A","Laguna",NA,NA,"Region4A, Laguna","rabv-glue",2004-01-01,2004
"RV/R3.PHL/2004/Z-04-519","AB563798","2004","Canis lupus familiaris","Region3","Aurora",NA,NA,"Region3, Aurora","rabv-glue",2004-01-01,2004
"RV/NCR.PHL/2004/Z-04-534","AB563799","2004","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2004-01-01,2004
"RV/NCR.PHL/2005/Z-05-009","AB563800","2005","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2005-01-01,2005
