Sample.ID,Region,Province
RV/R3.PHL/2013/TRa-549,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-550,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-551,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-552,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-554,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-556,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-557,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-581,Ilocos Region,Tarlac
RV/R3.PHL/2013/TRa-582,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-583,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-584,Ilocos Region,Nueva Ecija
RV/R3.PHL/2013/TRa-586,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-587,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-588,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-589,Ilocos Region,Pampanga
RV/R4A.PHL/2004/Z-04-042,Calabarzon,Cavite
RV/R4A.PHL/2004/Z-04-211,Calabarzon,Laguna
RV/R4A.PHL/2004/Z-04-389,Calabarzon,Cavite
RV/R4A.PHL/2004/Z-04-401,Calabarzon,Rizal
RV/R4A.PHL/2004/Z-04-420,Calabarzon,Cavite
RV/R4A.PHL/2004/Z-04-470,Calabarzon,Laguna
